Restaurant ID,Restaurant Name,Country Code,City,Longitude,Latitude,Average Cost for two,Price range,Aggregate rating,Votes
6317637,Le Petit Souffle,162,Makati City,121.027535,14.565443,1100,3,4.8,314
6304287,Izakaya Kikufuji,162,Makati City,121.014101,14.553708,1200,3,4.5,591
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,121.056831,14.581404,4000,4,4.4,270
6318506,Ooma,162,Mandaluyong City,121.056475,14.585318,1500,4,4.9,365
6314302,Sambo Kojin,162,Mandaluyong City,121.057508,14.58445,1500,4,4.8,229
18189371,Din Tai Fung,162,Mandaluyong City,121.056314,14.583764,1000,3,4.4,336
6300781,Buffet 101,162,Pasay City,120.9796667,14.53133333,2000,4,4,520
6301290,Vikings,162,Pasay City,120.9793333,14.54,2000,4,4.2,677
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,120.98009,14.55299,6000,4,4.9,621
6314987,Locavore,162,Pasig City,121.056532,14.572041,1100,3,4.8,532
6309903,Silantro Fil-Mex,162,Pasig City,121.057916,14.567689,800,3,4.9,1070
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,121.06082,14.570849,900,3,4.2,488
6318433,Silantro Fil-Mex,162,Quezon City,121.075419,14.649503,800,3,4.8,294
6310470,Guevarra's,162,San Juan City,121.0335917,14.59345,1000,3,4.2,458
6314605,Sodam Korean Restaurant,162,San Juan City,121.03811,14.59889,700,3,4.3,223
18185059,Cafe Arabelle,162,Santa Rosa,121.05704,14.237082,800,3,3.6,29
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,121.0565874,14.23767897,850,3,4,72
6318213,Balay Dako,162,Tagaytay City,120.951589,14.101834,1200,3,4.5,211
18255654,Hobing Korean Dessert Cafe,162,Taguig City,121.045878,14.55436,600,2,4.5,118
6308205,Wildflour Cafe + Bakery,162,Taguig City,121.04622,14.549337,1500,4,4.4,392
6315438,NIU by Vikings,162,Taguig City,121.053725,14.545858,3000,4,4.7,535
6310406,The Food Hall by Todd English,162,Taguig City,121.0534998,14.54565535,1800,4,4.5,618
6600681,Chez Michou,30,Brasí_lia,-47.88178889,-15.76414167,55,2,3,6
6601005,Cafí© Daniel Briand,30,Brasí_lia,-47.88266667,-15.7775,30,1,3.8,9
6600292,Casa do Biscoito Mineiro,30,Brasí_lia,-47.88213611,-15.75747222,45,2,3.7,11
6600441,Maori,30,Brasí_lia,-47.88816667,-15.75883333,60,3,3.8,11
6600970,Pizza íæ Bessa,30,Brasí_lia,-47.91566667,-15.83116667,50,2,3.2,11
6600379,Sushi Loko,30,Brasí_lia,-47.91566667,-15.831,80,3,3.1,10
6600214,Beirute,30,Brasí_lia,-47.9075,-15.82,90,3,3.7,8
6601218,New Koto,30,Brasí_lia,-47.91016667,-15.82733333,200,4,3.7,5
6600060,Sandubas Cafí©,30,Brasí_lia,-47.89016667,-15.797,30,1,0,2
6600083,Villa Tevere,30,Brasí_lia,-47.92366667,-15.83133333,150,4,4.1,12
6601515,Rovereto,30,Brasí_lia,-48.019,-15.83716667,100,4,3.1,9
